utterance,tagged
I found out something which will interest you.,I|Pron found|V out|Part something|N which|WhD will|Mod interest|N you|Pron .|. 
The poem that John wrote was very good.,The|D poem|N that|WhD John|N wrote|V was|V very|Adv good|A .|. 
The shield that saved Bill's life is made of silver.,The|D shield|N that|WhD saved|V Bill|N 's|Pos life|N is|V made|V of|P silver|N .|. 
The book that I said that I had never read was enjoyable.,The|D book|N that|P I|Pron said|V that|P I|Pron had|V never|Adv read|V was|V enjoyable|A .|. 
The book which Susan lent to Mary got lost.,The|D book|N which|WhD Susan|N lent|N to|To-Inf Mary|N got|V lost|V .|. 
The time when you left scared me. ,The|D time|N when|WhAdv you|Pron left|V scared|V me|Pron .|. 
I won't reveal the place where we found it.,I|Pron wo|Mod n't|Adv reveal|V the|D place|N where|WhAdv we|Pron found|V it|Pron .|. 
The car that I bought last week is already causing me problems.,The|D car|N that|P I|Pron bought|V last|A week|N is|V already|Adv causing|V me|Pron problems|N .|. 
I can’t remember the reason why I wanted to make syntactic trees.,I|Pron can|Mod ’|V t|A remember|V the|D reason|N why|WhAdv I|Pron wanted|V to|To-Inf make|V syntactic|A trees|N .|. 
The man who I think might be drunk hit me.,The|D man|N who|WhPron I|Pron think|V might|Mod be|V drunk|A hit|V me|Pron .|. 
The monkey that is eating the banana fell.,The|D monkey|N that|WhD is|V eating|V the|D banana|N fell|V .|. 
The amoeba that coughed died.,The|D amoeba|N that|WhD coughed|V died|V .|. 
I looked that number that we had seen yesterday up.,I|Pron looked|V that|P number|N that|P we|Pron had|V seen|V yesterday|N up|Part .|. 
Can I keep the screwdriver that has the wooden handle?,Can|Mod I|Pron keep|V the|D screwdriver|N that|WhD has|V the|D wooden|N handle|N ?|. 
Has Mary eaten the cake that is pink?,Has|N Mary|N eaten|V the|D cake|N that|WhD is|V pink|V ?|. 
The man who had two buckets of milk fell.,The|D man|N who|WhPron had|V two|Q buckets|N of|P milk|N fell|V .|. 
The pig that grunted played in the mud.,The|D pig|N that|WhD grunted|V played|V in|P the|D mud|N .|. 
The bear that snuffled is running away.,The|D bear|N that|WhD snuffled|V is|V running|V away|Adv .|. 
The man who chuckles is crying.,The|D man|N who|WhPron chuckles|V is|V crying|V .|. 
The child that wails finally stopped. ,The|D child|N that|WhD wails|V finally|Adv stopped|V .|. 
The sheep that bleats is still being sheared.,The|D sheep|N that|P bleats|N is|V still|Adv being|V sheared|V .|. 
The woman who is singing is happy.,The|D woman|N who|WhPron is|V singing|V is|V happy|A .|. 
The boys who left yesterday have arrived.,The|D boys|N who|WhPron left|V yesterday|N have|V arrived|V .|. 
Those two men who fell down are gone.,Those|D two|Q men|N who|WhPron fell|V down|Adv are|V gone|V .|. 
I lost the scissors that are red. ,I|Pron lost|V the|D scissors|N that|WhD are|V red|A .|. 
The handsome girl who is big bought the table.,The|D handsome|A girl|N who|WhPron is|V big|A bought|V the|D table|N .|. 
The girl who says that she reads books is walking.,The|D girl|N who|WhPron says|V that|P she|Pron reads|V books|N is|V walking|V .|. 
The boy who has seen the man talked.,The|D boy|N who|WhPron has|V seen|V the|D man|N talked|V .|. 
The students who had bought the book no longer want it.,The|D students|N who|WhPron had|V bought|V the|D book|N no|Adv longer|Adv want|V it|Pron .|. 
Passive Voice,Passive|A Voice|N 
The banana that is being eaten by that monkey is yellow.,The|D banana|N that|WhD is|V being|V eaten|V by|P that|D monkey|N is|V yellow|A .|. 
The book that Bill read is no longer being read.,The|D book|N that|WhD Bill|N read|V is|V no|Adv longer|Adv being|V read|V .|. 
The scissors that are red were thrown away.,The|D scissors|N that|WhD are|V red|A were|V thrown|V away|Adv .|. 
It is being sung by the woman who is happy.,It|Pron is|V being|V sung|V by|P the|D woman|N who|WhPron is|V happy|A .|. 
The place where we found the treasure will not be revealed.,The|D place|N where|WhAdv we|Pron found|V the|D treasure|N will|Mod not|Adv be|V revealed|V .|. 
I am being caused problems by the car that I bought last week.,I|Pron am|V being|V caused|V problems|N by|P the|D car|N that|P I|Pron bought|V last|A week|N .|. 
I was just hit by the guy who is wearing the red hat.,I|Pron was|V just|Adv hit|V by|P the|D guy|N who|WhPron is|V wearing|V the|D red|A hat|N .|. 
The number that we wrote down yesterday was looked up.,The|D number|N that|P we|Pron wrote|V down|Adv yesterday|N was|V looked|V up|Part .|. 
It was said by the boy who saw the man.,It|Pron was|V said|V by|P the|D boy|N who|WhPron saw|V the|D man|N .|. 
The poem written by John was very good.,The|D poem|N written|V by|P John|N was|V very|Adv good|A .|. 
Non-restrictive (NR),Non-restrictive|A (|( NR|N )|) 
Active Voice,Active|A Voice|N 
"The man that is escaping, who I think might be drunk, hit me.","The|D man|N that|WhD is|V escaping|V ,|, who|WhPron I|Pron think|V might|Mod be|V drunk|V ,|, hit|V me|Pron .|. "
"I think that Bill, who lives next door, is drunk.","I|Pron think|V that|P Bill|N ,|, who|WhPron lives|V next|A door|N ,|, is|V drunk|A .|. "
"Mary answered the question, which was difficult.","Mary|N answered|V the|D question|N ,|, which|WhD was|V difficult|A .|. "
"I asked which king, of the old kings, had invaded the city.","I|Pron asked|V which|WhD king|N ,|, of|P the|D old|A kings|N ,|, had|V invaded|V the|D city|N .|. "
"John listened to Bill's oration, the long winded oration, about Mary.","John|N listened|V to|To-Inf Bill|N 's|Pos oration|N ,|, the|D long|A winded|A oration|N ,|, about|P Mary|N .|. "
"Susan, who was 32 years old, was interested in John's description of geometry.","Susan|N ,|, who|WhPron was|V 32|Q years|N old|A ,|, was|V interested|A in|P John|N 's|Pos description|N of|P geometry|N .|. "
"I believed the claim, which is believable, that John would invade the city of Athens.","I|Pron believed|V the|D claim|N ,|, which|WhD is|V believable|A ,|, that|P John|N would|Mod invade|V the|D city|N of|P Athens|N .|. "
"It was obvious that John, who was not good at hiding his feelings, loved Mary.","It|Pron was|V obvious|A that|P John|N ,|, who|WhPron was|V not|Adv good|A at|P hiding|V his|PosPron feelings|N ,|, loved|V Mary|N .|. "
"A movie about Bill, the tragedian, is on the news tonight.","A|D movie|N about|P Bill|N ,|, the|D tragedian|N ,|, is|V on|P the|D news|N tonight|N .|. "
"A description of John, the greek philosopher, is in the book.","A|D description|N of|P John|N ,|, the|D greek|A philosopher|N ,|, is|V in|P the|D book|N .|. "
"Bill, who was quite afraid, had run away.","Bill|N ,|, who|WhPron was|V quite|Adv afraid|A ,|, had|V run|V away|Adv .|. "
"It is tough to teach syntax, especially to the people who live next door.","It|Pron is|V tough|A to|To-Inf teach|V syntax|N ,|, especially|Adv to|To-Inf the|D people|N who|WhPron live|V next|A door|N .|. "
"It is easy to slay the gorgon, who killed Bill. ","It|Pron is|V easy|A to|To-Inf slay|V the|D gorgon|N ,|, who|WhPron killed|V Bill|N .|. "
"We observed that Susan killed the Gorgon, the one in the deep cave.","We|Pron observed|V that|P Susan|N killed|V the|D Gorgon|N ,|, the|D one|Q in|P the|D deep|A cave|N .|. "
"I hoped that you, the gorgon slayer, would defeat him.","I|Pron hoped|V that|P you|Pron ,|, the|D gorgon|N slayer|N ,|, would|Mod defeat|V him|Pron .|. "
"I wondered whether Mary, who has brown hair, had fled.","I|Pron wondered|V whether|P Mary|N ,|, who|WhPron has|V brown|V hair|N ,|, had|V fled|V .|. "
"John saw the Gorgon, who looked angry, in his shield.","John|N saw|V the|D Gorgon|N ,|, who|WhPron looked|V angry|A ,|, in|P his|PosPron shield|N .|. "
"Bill recited the poem about John, which consisted of wonderfully written prose.","Bill|N recited|V the|D poem|N about|P John|N ,|, which|WhD consisted|V of|P wonderfully|Adv written|V prose|N .|. "
"He, who is a redhead, is that kind of actor.","He|Pron ,|, who|WhPron is|V a|D redhead|N ,|, is|V that|P kind|N of|P actor|N .|. "
"Susan, sister of Mary, tended to appear evil.","Susan|N ,|, sister|N of|P Mary|N ,|, tended|V to|To-Inf appear|V evil|N .|. "
"John, while searching for the golden fleece, persuaded Mary to try to run away.","John|N ,|, while|P searching|V for|P the|D golden|A fleece|N ,|, persuaded|V Mary|N to|To-Inf try|V to|To-Inf run|V away|Adv .|. "
"Bill, during the Trojan war, expected Susan to seem to be happy.","Bill|N ,|, during|P the|D Trojan|N war|N ,|, expected|V Susan|N to|To-Inf seem|V to|To-Inf be|V happy|A .|. "
"John, the god of lightning, wanted Mary to persuade Susan to leave.","John|N ,|, the|D god|N of|P lightning|N ,|, wanted|V Mary|N to|To-Inf persuade|V Susan|N to|To-Inf leave|V .|. "
"For John to appear to be happy, which to date has never happened, would be impossible.","For|P John|N to|To-Inf appear|V to|To-Inf be|V happy|A ,|, which|WhD to|To-Inf date|N has|V never|Adv happened|V ,|, would|Mod be|V impossible|A .|. "
"Mary tried to appear to be happy, which was impressive.","Mary|N tried|V to|To-Inf appear|V to|To-Inf be|V happy|A ,|, which|WhD was|V impressive|A .|. "
"John, who was a wizard, refrained from casting the spell.","John|N ,|, who|WhPron was|V a|D wizard|N ,|, refrained|V from|P casting|V the|D spell|N .|. "
"Bill, who was more powerful than John, stopped John from casting the spell.","Bill|N ,|, who|WhPron was|V more|Adv powerful|A than|P John|N ,|, stopped|V John|N from|P casting|V the|D spell|N .|. "
"Bill stopped John from casting the spell, which would have been powerful.","Bill|N stopped|V John|N from|P casting|V the|D spell|N ,|, which|WhD would|Mod have|V been|V powerful|A .|. "
"John thought of defending the dragon, which would have been impossible to do. ","John|N thought|N of|P defending|V the|D dragon|N ,|, which|WhD would|Mod have|V been|V impossible|A to|To-Inf do|V .|. "
"Mary, who was the niece of Susan, denied poisoning the phoenix.","Mary|N ,|, who|WhPron was|V the|D niece|N of|P Susan|N ,|, denied|V poisoning|V the|D phoenix|N .|. "
Passive Voice,Passive|A Voice|N 
"The place, where we lived for six years, was suddenly broken into.","The|D place|N ,|, where|WhAdv we|Pron lived|V for|P six|Q years|N ,|, was|V suddenly|Adv broken|V into|P .|. "
"The vampire, who crumbled into dust, was killed.","The|D vampire|N ,|, who|WhPron crumbled|V into|P dust|N ,|, was|V killed|V .|. "
"The man, whose car I hit last week, was being sued.","The|D man|N ,|, whose|WhPos car|N I|Pron hit|V last|A week|N ,|, was|V being|V sued|V .|. "
"I am wondering what was bought by John, who was wearing a green sweater.","I|Pron am|V wondering|V what|WhPron was|V bought|V by|P John|N ,|, who|WhPron was|V wearing|V a|D green|A sweater|N .|. "
"The hat had been worn by Mary, who was born here.","The|D hat|N had|V been|V worn|V by|P Mary|N ,|, who|WhPron was|V born|V here|Adv .|. "
"The people, who were rioting, were certainly arrested.","The|D people|N ,|, who|WhPron were|V rioting|V ,|, were|V certainly|Adv arrested|V .|. "
"John, who was carrying a blue notebook, was killed by Bill.","John|N ,|, who|WhPron was|V carrying|V a|D blue|A notebook|N ,|, was|V killed|V by|P Bill|N .|. "
"The garments, that are poisoned, were stolen from the museum.","The|D garments|N ,|, that|WhD are|V poisoned|V ,|, were|V stolen|V from|P the|D museum|N .|. "
"The dragons, who were purple, have been slain.","The|D dragons|N ,|, who|WhPron were|V purple|Adv ,|, have|V been|V slain|V .|. "
